DECADE,IMPORTANCE,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,BRANCH KEY,KEY LIST,KEY TOTAL
1980s,0.0,"['Mike Guyer', 'Thijs de Haan', 'Vah\xc3\xa9 Kalousdian', 'Brigitte Kochta', 'Victor Mani', 'Luc Reuse', 'Georg Ritschl', 'Karin R\xc3\xbchle', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Koepel Panopticon Prison,1980,Project,Commissioned Study,Infrastructure,True,Mike Guyer,Thijs de Haan,Vahé Kalousdian,Brigitte Kochta,Victor Mani,Luc Reuse,Georg Ritschl,Karin Rühle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.0,"['Herman Helle', 'G\xc3\xb6tz Keller', 'Brigitte Kochta', 'Marty Kohn', 'Willem-Jan Neutelings', 'Luc Reuse', 'Ron Steiner', 'Jeroen Thomas', 'Garciella Torre', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",City Hall The Hague,1986,Project,Competition,Office,True,Herman Helle,Götz Keller,Brigitte Kochta,Marty Kohn,Willem-Jan Neutelings,Luc Reuse,Ron Steiner,Jeroen Thomas,Garciella Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.0,"['Dirk Alten', 'Christian Delius', 'Xaveer de Geyter', 'Christian Rapp', 'Luc Reuse', 'Alex Wall', 'Edith Winkler', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Biozentrum,1987,Project,Competition,Education,True,Dirk Alten,Christian Delius,Xaveer de Geyter,Christian Rapp,Luc Reuse,Alex Wall,Edith Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.0,"['Yves Brunier', 'Xaveer de Geyter', 'Mike Guyer', 'Luc Reuse', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Ville Nouvelle Melun Senart,1987,Project,Competition,Masterplan,True,Yves Brunier,Xaveer de Geyter,Mike Guyer,Luc Reuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.0,"['Xaveer de Geyter', 'Luc Reuse', 'Ron Steiner', 'Alex Wall', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Eurodisney,1988,Project,Design Development,Hotel,True,Xaveer de Geyter,Luc Reuse,Ron Steiner,Alex Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.0,"['Kees Christiaanse', 'Xaveer de Geyter', 'Cor van der Hout', 'Gregor Mescherowsky', 'Alexander Nowotny', 'Luc Reuse', 'Jeroen Thomas', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Netherlands Architecture Institute,1988,Project,Competition,Museum / Gallery,True,Kees Christiaanse,Xaveer de Geyter,Cor van der Hout,Gregor Mescherowsky,Alexander Nowotny,Luc Reuse,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.0,"['Luc Reuse', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Sportmuseum,1988,Project,Commissioned Study,Museum / Gallery,True,Luc Reuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.0,"['Eric van Daele', 'Luc Reuse', 'Ron Steiner', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Frankfurt Flughafen,1989,Project,Competition,Masterplan,True,Eric van Daele,Luc Reuse,Ron Steiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.333333333333,"['Donald van Dansik', 'Petra Blaisse', 'Eric van Daele', 'Herman Helle', 'Cor van der Hout', 'Ramon Klein', 'Luc Reuse', 'Jennifer Sigler', 'Kappers Trimensi', 'Hans Werlemann', 'Art Zaaijer', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",The First Decade,1989,Project,Completed,Exhibition,False,Donald van Dansik,Petra Blaisse,Eric van Daele,Herman Helle,Cor van der Hout,Ramon Klein,Luc Reuse,Jennifer Sigler,Kappers Trimensi,Hans Werlemann,Art Zaaijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
1980s,0.0,"['Eric van Daele', 'Xaveer de Geyter', 'Jaap van Heest', 'Ramon Klein', 'Wim Kloosterboer', 'Maartje Lammers', 'Luc Reuse', 'Ron Steiner', 'Yushi Uehara', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Zeebrugge Sea Terminal,1989,Project,Competition,Infrastructure,True,Eric van Daele,Xaveer de Geyter,Jaap van Heest,Ramon Klein,Wim Kloosterboer,Maartje Lammers,Luc Reuse,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Reuse,Generation-01,11
