DECADE,IMPORTANCE,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,BRANCH KEY,KEY LIST
1990s,0.0,"['Floris Alkemade', 'Frans Blok', 'Gro Bonesmo', 'Abigail Hopkins', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Tate Modern,1994,Project,Competition,Museum / Gallery,True,Floris Alkemade,Frans Blok,Gro Bonesmo,Abigail Hopkins,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
1990s,0.0,"['Gary Bates', 'Frans Blok', 'Sarah Dun', 'Wilfried Hackenbroich', 'Fokke Moerel', 'Eric Schall', 'Heidi van der Wardt', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",H Project,1995,Project,Commissioned Study,Education,True,Gary Bates,Frans Blok,Sarah Dun,Wilfried Hackenbroich,Fokke Moerel,Eric Schall,Heidi van der Wardt,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
1990s,0.0,"['Floris Alkemade', 'Mathias Bauer', 'Frans Blok', 'Gro Bonesmo', 'Emanuelle Champalle', 'Minsuk Cho', 'Hans Cool', 'Christophe Cornubert', 'Vincent Coste', 'Otto Driesden', 'Chris van Duijn', 'Sarah Dun', 'Anthony Fontenot', 'Bill Gaskins', 'Wilfried Hackenbroich', 'Machteld Hendricks', 'Reiner Hermes', 'Matthias Hollwich', 'Andreas Huhn', 'Alex Karcher', 'Anna Kling', 'Niko Knebel', 'Christine Machynia', 'Jose Molmans', 'Sophie Morgense', 'Simone Nagel', 'Oleg Nikolaevski', 'Philip Oswalt', 'Rinske van Ramshorst', 'Joshua Ramus', 'Ole Scheeren', 'Sandra Schneider-Marfels', 'Charlotte Senly', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",MCA Masterplan,1995,Project,Design Development,Masterplan,True,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Rinske van Ramshorst,Joshua Ramus,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
1990s,0.0,"['Simon van Amerongen', 'Gary Bates', 'Vincent Coste', 'Piet Eckert', 'Bobby Fogel', 'Kwang Soo Kim', 'Paul Kroese', 'Margaret Muller', 'Greetje van den Nouweland', 'Fanny Smelik', 'Jeroen Thomas', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",New Seoul International Airport,1995,Project,Commissioned Study,Masterplan,True,Simon van Amerongen,Gary Bates,Vincent Coste,Piet Eckert,Bobby Fogel,Kwang Soo Kim,Paul Kroese,Margaret Muller,Greetje van den Nouweland,Fanny Smelik,Jeroen Thomas,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
1990s,0.0,"['Floris Alkemade', 'Tom Bergevoet', 'Frans Blok', 'Gro Bonesmo', 'Catherine Lassen', 'Christos Marcopoulos', 'Ole Scheeren', 'Sanna Schuiling', 'Enno Stemerding', 'Jeroen Thomas', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Luxor Theatre,1996,Project,Competition,Theatre,True,Floris Alkemade,Tom Bergevoet,Frans Blok,Gro Bonesmo,Catherine Lassen,Christos Marcopoulos,Ole Scheeren,Sanna Schuiling,Enno Stemerding,Jeroen Thomas,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
1990s,0.0,"['Floris Alkemade', 'Mathias Bauer', 'Frans Blok', 'Gro Bonesmo', 'Emanuelle Champalle', 'Minsuk Cho', 'Hans Cool', 'Christophe Cornubert', 'Vincent Coste', 'Otto Driesden', 'Chris van Duijn', 'Sarah Dun', 'Anthony Fontenot', 'Bill Gaskins', 'Wilfried Hackenbroich', 'Machteld Hendricks', 'Reiner Hermes', 'Matthias Hollwich', 'Andreas Huhn', 'Alex Karcher', 'Anna Kling', 'Niko Knebel', 'Christine Machynia', 'Jose Molmans', 'Sophie Morgense', 'Simone Nagel', 'Oleg Nikolaevski', 'Philip Oswalt', 'Joshua Prince-Ramus', 'Rinske van Ramshorst', 'Ole Scheeren', 'Sandra Schneider-Marfels', 'Charlotte Senly', 'Dan Wood', 'Olga Aleksakova', 'Eliot Bu', 'Xavier Calder\xc3\xb3n', 'Robert Choeff', 'Bert Karel Deuten', 'Keith Donnelley', 'Robert Donnelly', 'Chris van Duijn', 'Chris van Duijn', 'Sarah Dun', 'Mark Eacott', 'Piet Eckert', 'Erez Ella', 'Keren Engelman', 'Rogier van Est', 'Anne Filson', 'Adrianne Fisher', 'Adrianne Fisher', 'Bruce Fisher', 'Pedro Costa Gama', 'Mark Guinand', 'Wilfried Hackenbroich', 'Reinier Hermes', 'Matthias Hollwich', 'Jens Holm', 'Andreas Huhn', 'Anna Jacinto', 'Kohei Kashimoto', 'Anna Kling', 'Antti Lassila', 'Anna Little', 'Ellen van Loon', 'Rob de Maat', 'Beth Margulis', 'Mark McVay', 'Oliver Michell', 'Christian M\xc3\xbcller', 'Shawn Mulligan', 'Oleg Nikolaevski', 'Daan Ooievaar', 'Ala Pratt', 'Bill Price', 'Bill Price', 'Joshua Prince-Ramus', 'Joshua Prince-Ramus', 'Markus Randler', 'Gerald Rogers', 'Fernando Romero', 'Erik Schotte', 'Florian Seidel', 'Shohei Shigematsu', 'Ann Shih', 'Peer Sievers', 'Isabel da Silva', 'Isabel da Silva', 'Galia Solomonoff', 'Ilkka Tarkkanen', 'Lucien Tinga', 'Olivier Touraine', 'Jan Vermeulen', 'Leonard Weil', 'Bernard Wolff', 'Dan Wood', 'Marco Zurn']",Universal Headquarters,1996,Project,Commissioned Study,Office,True,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Joshua Prince-Ramus,Rinske van Ramshorst,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,Olga Aleksakova,Eliot Bu,Xavier Calderón,Robert Choeff,Bert Karel Deuten,Keith Donnelley,Robert Donnelly,Chris van Duijn,Chris van Duijn,Sarah Dun,Mark Eacott,Piet Eckert,Erez Ella,Keren Engelman,Rogier van Est,Anne Filson,Adrianne Fisher,Adrianne Fisher,Bruce Fisher,Pedro Costa Gama,Mark Guinand,Wilfried Hackenbroich,Reinier Hermes,Matthias Hollwich,Jens Holm,Andreas Huhn,Anna Jacinto,Kohei Kashimoto,Anna Kling,Antti Lassila,Anna Little,Ellen van Loon,Rob de Maat,Beth Margulis,Mark McVay,Oliver Michell,Christian Müller,Shawn Mulligan,Oleg Nikolaevski,Daan Ooievaar,Ala Pratt,Bill Price,Bill Price,Joshua Prince-Ramus,Joshua Prince-Ramus,Markus Randler,Gerald Rogers,Fernando Romero,Erik Schotte,Florian Seidel,Shohei Shigematsu,Ann Shih,Peer Sievers,Isabel da Silva,Isabel da Silva,Galia Solomonoff,Ilkka Tarkkanen,Lucien Tinga,Olivier Touraine,Jan Vermeulen,Leonard Weil,Bernard Wolff,Dan Wood,Marco Zurn,Dan Wood,Generation-02
1990s,0.0,"['Vincent Coste', 'Rogier van Est', 'Wilfried Hackenbroich', 'Matthias Hollwich', 'Kohei Kashimoto', 'Joshua Prince-Ramus', 'Ole Scheeren', 'Isabel da Silva', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Moma Charette,1997,Project,Competition,Museum / Gallery,True,Vincent Coste,Rogier van Est,Wilfried Hackenbroich,Matthias Hollwich,Kohei Kashimoto,Joshua Prince-Ramus,Ole Scheeren,Isabel da Silva,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
2000s,0.0,"['Dan Wood', 'Hans Focketyn', 'Alain Fouraux', 'David Moore', 'Fenna Haakma Wagenaar', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Astor Place Hotel,2000,Project,Commissioned Study,Hotel,True,Dan Wood,Hans Focketyn,Alain Fouraux,David Moore,Fenna Haakma Wagenaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
2000s,0.333333333333,"['Dan Wood', 'Eric Chang', 'Matthias Hollwich', 'Thorsten Kiefer', 'Casey Mack', 'Will Prince', 'Julien De Smedt', 'Sybille W\xc3\xa4lty', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Brooklyn Academy of Music,2000,Project,Commissioned Study,Mixed use,True,Dan Wood,Eric Chang,Matthias Hollwich,Thorsten Kiefer,Casey Mack,Will Prince,Julien De Smedt,Sybille Wälty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
2000s,0.0,"['Andreas Huhn', 'Jeffrey Johnson', 'Olga Aleksakova', 'Catarina Canas', 'Thomas Duda', 'Chris van Duijn', 'Sharon Goren', 'Thorsten Kiefer', 'Will Prince', 'Karen Shanski', 'Shohei Shigematsu', 'Pim van Wylick', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",The Distributed House,2000,Project,Commissioned Study,Residential,True,Andreas Huhn,Jeffrey Johnson,Olga Aleksakova,Catarina Canas,Thomas Duda,Chris van Duijn,Sharon Goren,Thorsten Kiefer,Will Prince,Karen Shanski,Shohei Shigematsu,Pim van Wylick,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Wood,Generation-02
