DECADE,IMPORTANCE,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,BRANCH KEY,KEY LIST,KEY TOTAL
1990s,0.0,"['Floris Alkemade', 'Mathias Bauer', 'Frans Blok', 'Gro Bonesmo', 'Emanuelle Champalle', 'Minsuk Cho', 'Hans Cool', 'Christophe Cornubert', 'Vincent Coste', 'Otto Driesden', 'Chris van Duijn', 'Sarah Dun', 'Anthony Fontenot', 'Bill Gaskins', 'Wilfried Hackenbroich', 'Machteld Hendricks', 'Reiner Hermes', 'Matthias Hollwich', 'Andreas Huhn', 'Alex Karcher', 'Anna Kling', 'Niko Knebel', 'Christine Machynia', 'Jose Molmans', 'Sophie Morgense', 'Simone Nagel', 'Oleg Nikolaevski', 'Philip Oswalt', 'Rinske van Ramshorst', 'Joshua Ramus', 'Ole Scheeren', 'Sandra Schneider-Marfels', 'Charlotte Senly', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",MCA Masterplan,1995,Project,Design Development,Masterplan,True,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Rinske van Ramshorst,Joshua Ramus,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
1990s,0.0,"['Udo Garritzmann', 'Catherine Lassen', 'Domenico Raimondo', 'Ole Scheeren', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Oostelijke Handelskade,1995,Project,Commissioned Study,Masterplan,True,Udo Garritzmann,Catherine Lassen,Domenico Raimondo,Ole Scheeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
1990s,0.0,"['Floris Alkemade', 'Tom Bergevoet', 'Frans Blok', 'Gro Bonesmo', 'Catherine Lassen', 'Christos Marcopoulos', 'Ole Scheeren', 'Sanna Schuiling', 'Enno Stemerding', 'Jeroen Thomas', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Luxor Theatre,1996,Project,Competition,Theatre,True,Floris Alkemade,Tom Bergevoet,Frans Blok,Gro Bonesmo,Catherine Lassen,Christos Marcopoulos,Ole Scheeren,Sanna Schuiling,Enno Stemerding,Jeroen Thomas,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
1990s,0.0,"['Floris Alkemade', 'Mathias Bauer', 'Frans Blok', 'Gro Bonesmo', 'Emanuelle Champalle', 'Minsuk Cho', 'Hans Cool', 'Christophe Cornubert', 'Vincent Coste', 'Otto Driesden', 'Chris van Duijn', 'Sarah Dun', 'Anthony Fontenot', 'Bill Gaskins', 'Wilfried Hackenbroich', 'Machteld Hendricks', 'Reiner Hermes', 'Matthias Hollwich', 'Andreas Huhn', 'Alex Karcher', 'Anna Kling', 'Niko Knebel', 'Christine Machynia', 'Jose Molmans', 'Sophie Morgense', 'Simone Nagel', 'Oleg Nikolaevski', 'Philip Oswalt', 'Joshua Prince-Ramus', 'Rinske van Ramshorst', 'Ole Scheeren', 'Sandra Schneider-Marfels', 'Charlotte Senly', 'Dan Wood', 'Olga Aleksakova', 'Eliot Bu', 'Xavier Calder\xc3\xb3n', 'Robert Choeff', 'Bert Karel Deuten', 'Keith Donnelley', 'Robert Donnelly', 'Chris van Duijn', 'Chris van Duijn', 'Sarah Dun', 'Mark Eacott', 'Piet Eckert', 'Erez Ella', 'Keren Engelman', 'Rogier van Est', 'Anne Filson', 'Adrianne Fisher', 'Adrianne Fisher', 'Bruce Fisher', 'Pedro Costa Gama', 'Mark Guinand', 'Wilfried Hackenbroich', 'Reinier Hermes', 'Matthias Hollwich', 'Jens Holm', 'Andreas Huhn', 'Anna Jacinto', 'Kohei Kashimoto', 'Anna Kling', 'Antti Lassila', 'Anna Little', 'Ellen van Loon', 'Rob de Maat', 'Beth Margulis', 'Mark McVay', 'Oliver Michell', 'Christian M\xc3\xbcller', 'Shawn Mulligan', 'Oleg Nikolaevski', 'Daan Ooievaar', 'Ala Pratt', 'Bill Price', 'Bill Price', 'Joshua Prince-Ramus', 'Joshua Prince-Ramus', 'Markus Randler', 'Gerald Rogers', 'Fernando Romero', 'Erik Schotte', 'Florian Seidel', 'Shohei Shigematsu', 'Ann Shih', 'Peer Sievers', 'Isabel da Silva', 'Isabel da Silva', 'Galia Solomonoff', 'Ilkka Tarkkanen', 'Lucien Tinga', 'Olivier Touraine', 'Jan Vermeulen', 'Leonard Weil', 'Bernard Wolff', 'Dan Wood', 'Marco Zurn']",Universal Headquarters,1996,Project,Commissioned Study,Office,True,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Joshua Prince-Ramus,Rinske van Ramshorst,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,Olga Aleksakova,Eliot Bu,Xavier Calderón,Robert Choeff,Bert Karel Deuten,Keith Donnelley,Robert Donnelly,Chris van Duijn,Chris van Duijn,Sarah Dun,Mark Eacott,Piet Eckert,Erez Ella,Keren Engelman,Rogier van Est,Anne Filson,Adrianne Fisher,Adrianne Fisher,Bruce Fisher,Pedro Costa Gama,Mark Guinand,Wilfried Hackenbroich,Reinier Hermes,Matthias Hollwich,Jens Holm,Andreas Huhn,Anna Jacinto,Kohei Kashimoto,Anna Kling,Antti Lassila,Anna Little,Ellen van Loon,Rob de Maat,Beth Margulis,Mark McVay,Oliver Michell,Christian Müller,Shawn Mulligan,Oleg Nikolaevski,Daan Ooievaar,Ala Pratt,Bill Price,Bill Price,Joshua Prince-Ramus,Joshua Prince-Ramus,Markus Randler,Gerald Rogers,Fernando Romero,Erik Schotte,Florian Seidel,Shohei Shigematsu,Ann Shih,Peer Sievers,Isabel da Silva,Isabel da Silva,Galia Solomonoff,Ilkka Tarkkanen,Lucien Tinga,Olivier Touraine,Jan Vermeulen,Leonard Weil,Bernard Wolff,Dan Wood,Marco Zurn,Ole Scheeren,Generation-02,11
1990s,0.0,"['Vincent Coste', 'Rogier van Est', 'Wilfried Hackenbroich', 'Matthias Hollwich', 'Kohei Kashimoto', 'Joshua Prince-Ramus', 'Ole Scheeren', 'Isabel da Silva', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Moma Charette,1997,Project,Competition,Museum / Gallery,True,Vincent Coste,Rogier van Est,Wilfried Hackenbroich,Matthias Hollwich,Kohei Kashimoto,Joshua Prince-Ramus,Ole Scheeren,Isabel da Silva,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
1990s,0.333333333333,"['Matthias Bauer', 'Vincent Coste', 'Christos Marcopoulos', 'Ole Scheeren', 'Stephanie Bender', 'Minsuk Cho', 'Chris van Duijn', 'Tobias Fehr', 'Rob Hilz', 'Jan-Willem van Kuilenburg', 'Catherine Lassen', 'Sabine Schaaf', 'Erik Schotte', 'Don Weber', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Breuninger,1999,Project,Completed,Retail,True,Matthias Bauer,Vincent Coste,Christos Marcopoulos,Ole Scheeren,Stephanie Bender,Minsuk Cho,Chris van Duijn,Tobias Fehr,Rob Hilz,Jan-Willem van Kuilenburg,Catherine Lassen,Sabine Schaaf,Erik Schotte,Don Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
1990s,0.333333333333,"['Ole Scheeren', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Cities On The Move,1999,Project,Completed,Exhibition,True,Ole Scheeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
2000s,0.333333333333,"['David Gorin', 'Ellen van Loon', 'Ole Scheeren', 'Guillaume Colboc', 'Tammo Prinz', 'Gregers Tang Thomsen', 'Roberto Otero', 'Hiromasa Shirai', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Multi Media Building,2002,Project,Competition,Mixed use,True,David Gorin,Ellen van Loon,Ole Scheeren,Guillaume Colboc,Tammo Prinz,Gregers Tang Thomsen,Roberto Otero,Hiromasa Shirai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
2000s,0.0,"['Eric Chang', 'Chris van Duijn', 'Ole Scheeren', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Prada Sponge,2002,Project,Commissioned Study,Research,True,Eric Chang,Chris van Duijn,Ole Scheeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
2000s,0.5,"['Kayoko Ota', 'Alex Lin', 'Michael Rock', 'Felix Madrazo', 'Christina Murphy', 'Marieke Kums', 'Brendan McGetrick', 'Mee Michelle Liu', 'Michael Smith', 'Ademide Adelusi Adeluyi', 'Reinier de Graaf', 'Jason Long', 'Ole Scheeren', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","Post-Occupancy, Domus d'Autore",2006,Publication,Publication,,True,Kayoko Ota,Alex Lin,Michael Rock,Felix Madrazo,Christina Murphy,Marieke Kums,Brendan McGetrick,Mee Michelle Liu,Michael Smith,Ademide Adelusi Adeluyi,Reinier de Graaf,Jason Long,Ole Scheeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Scheeren,Generation-02,11
