DECADE,IMPORTANCE,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,BRANCH KEY,KEY LIST,KEY TOTAL
1990s,0.0,"['Floris Alkemade', 'Mathias Bauer', 'Frans Blok', 'Gro Bonesmo', 'Emanuelle Champalle', 'Minsuk Cho', 'Hans Cool', 'Christophe Cornubert', 'Vincent Coste', 'Otto Driesden', 'Chris van Duijn', 'Sarah Dun', 'Anthony Fontenot', 'Bill Gaskins', 'Wilfried Hackenbroich', 'Machteld Hendricks', 'Reiner Hermes', 'Matthias Hollwich', 'Andreas Huhn', 'Alex Karcher', 'Anna Kling', 'Niko Knebel', 'Christine Machynia', 'Jose Molmans', 'Sophie Morgense', 'Simone Nagel', 'Oleg Nikolaevski', 'Philip Oswalt', 'Joshua Prince-Ramus', 'Rinske van Ramshorst', 'Ole Scheeren', 'Sandra Schneider-Marfels', 'Charlotte Senly', 'Dan Wood', 'Olga Aleksakova', 'Eliot Bu', 'Xavier Calder\xc3\xb3n', 'Robert Choeff', 'Bert Karel Deuten', 'Keith Donnelley', 'Robert Donnelly', 'Chris van Duijn', 'Chris van Duijn', 'Sarah Dun', 'Mark Eacott', 'Piet Eckert', 'Erez Ella', 'Keren Engelman', 'Rogier van Est', 'Anne Filson', 'Adrianne Fisher', 'Adrianne Fisher', 'Bruce Fisher', 'Pedro Costa Gama', 'Mark Guinand', 'Wilfried Hackenbroich', 'Reinier Hermes', 'Matthias Hollwich', 'Jens Holm', 'Andreas Huhn', 'Anna Jacinto', 'Kohei Kashimoto', 'Anna Kling', 'Antti Lassila', 'Anna Little', 'Ellen van Loon', 'Rob de Maat', 'Beth Margulis', 'Mark McVay', 'Oliver Michell', 'Christian M\xc3\xbcller', 'Shawn Mulligan', 'Oleg Nikolaevski', 'Daan Ooievaar', 'Ala Pratt', 'Bill Price', 'Bill Price', 'Joshua Prince-Ramus', 'Joshua Prince-Ramus', 'Markus Randler', 'Gerald Rogers', 'Fernando Romero', 'Erik Schotte', 'Florian Seidel', 'Shohei Shigematsu', 'Ann Shih', 'Peer Sievers', 'Isabel da Silva', 'Isabel da Silva', 'Galia Solomonoff', 'Ilkka Tarkkanen', 'Lucien Tinga', 'Olivier Touraine', 'Jan Vermeulen', 'Leonard Weil', 'Bernard Wolff', 'Dan Wood', 'Marco Zurn']",Universal Headquarters,1996,Project,Commissioned Study,Office,True,Floris Alkemade,Mathias Bauer,Frans Blok,Gro Bonesmo,Emanuelle Champalle,Minsuk Cho,Hans Cool,Christophe Cornubert,Vincent Coste,Otto Driesden,Chris van Duijn,Sarah Dun,Anthony Fontenot,Bill Gaskins,Wilfried Hackenbroich,Machteld Hendricks,Reiner Hermes,Matthias Hollwich,Andreas Huhn,Alex Karcher,Anna Kling,Niko Knebel,Christine Machynia,Jose Molmans,Sophie Morgense,Simone Nagel,Oleg Nikolaevski,Philip Oswalt,Joshua Prince-Ramus,Rinske van Ramshorst,Ole Scheeren,Sandra Schneider-Marfels,Charlotte Senly,Dan Wood,Olga Aleksakova,Eliot Bu,Xavier Calderón,Robert Choeff,Bert Karel Deuten,Keith Donnelley,Robert Donnelly,Chris van Duijn,Chris van Duijn,Sarah Dun,Mark Eacott,Piet Eckert,Erez Ella,Keren Engelman,Rogier van Est,Anne Filson,Adrianne Fisher,Adrianne Fisher,Bruce Fisher,Pedro Costa Gama,Mark Guinand,Wilfried Hackenbroich,Reinier Hermes,Matthias Hollwich,Jens Holm,Andreas Huhn,Anna Jacinto,Kohei Kashimoto,Anna Kling,Antti Lassila,Anna Little,Ellen van Loon,Rob de Maat,Beth Margulis,Mark McVay,Oliver Michell,Christian Müller,Shawn Mulligan,Oleg Nikolaevski,Daan Ooievaar,Ala Pratt,Bill Price,Bill Price,Joshua Prince-Ramus,Joshua Prince-Ramus,Markus Randler,Gerald Rogers,Fernando Romero,Erik Schotte,Florian Seidel,Shohei Shigematsu,Ann Shih,Peer Sievers,Isabel da Silva,Isabel da Silva,Galia Solomonoff,Ilkka Tarkkanen,Lucien Tinga,Olivier Touraine,Jan Vermeulen,Leonard Weil,Bernard Wolff,Dan Wood,Marco Zurn,Shohei Shigematsu,Projects-05,21
1990s,0.0,"['Frans Blok', 'Hans Focketyn', 'Govert Gerritsen', 'Andreas Huhn', 'Ben Jacquemet', 'Emanuele Mattutini', 'Shohei Shigematsu', 'Ron Southwick', 'Beatrice Timm', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Havas Siege Sociale,1999,Project,Competition,Office,True,Frans Blok,Hans Focketyn,Govert Gerritsen,Andreas Huhn,Ben Jacquemet,Emanuele Mattutini,Shohei Shigematsu,Ron Southwick,Beatrice Timm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
2000s,0.0,"['Alain Fouraux', 'Reinierde Graaf', 'Carolien Ligtenberg', 'Paz Martin', 'Shohei Shigematsu', 'Johan De Wachter', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Barcelona Airport Terminal,2000,Project,Competition,Infrastructure,True,Alain Fouraux,Reinierde Graaf,Carolien Ligtenberg,Paz Martin,Shohei Shigematsu,Johan De Wachter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
2000s,0.0,"['Andreas Huhn', 'Jeffrey Johnson', 'Olga Aleksakova', 'Catarina Canas', 'Thomas Duda', 'Chris van Duijn', 'Sharon Goren', 'Thorsten Kiefer', 'Will Prince', 'Karen Shanski', 'Shohei Shigematsu', 'Pim van Wylick', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",The Distributed House,2000,Project,Commissioned Study,Residential,True,Andreas Huhn,Jeffrey Johnson,Olga Aleksakova,Catarina Canas,Thomas Duda,Chris van Duijn,Sharon Goren,Thorsten Kiefer,Will Prince,Karen Shanski,Shohei Shigematsu,Pim van Wylick,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
2000s,0.0,"['Dan Wood', 'Amale Andraos', 'Alisa Andrasek', 'Evan Bennet', 'Meghan Corwin', 'Erez Ella', 'Shohei Shigematsu', 'Henning St\xc3\xbcben', 'Yumiko Yamada', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",UN City,2001,Project,Competition,Masterplan,True,Dan Wood,Amale Andraos,Alisa Andrasek,Evan Bennet,Meghan Corwin,Erez Ella,Shohei Shigematsu,Henning Stüben,Yumiko Yamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
2000s,0.0,"['Carol Patterson', 'Olga Aleksakova', 'Ali Arvanaghi', 'Brandon Cook', 'Markus Dettling', 'Erez Ella', 'Marissa Fort', 'Alain Fouraux', 'Sarah Gibson', 'Laura Gilmore', 'Caya Loeper', 'John McMorrough', 'Shiro Ogata', 'Natasha Sandmeier', 'Tuomas Toivonen', 'Fenna Haakma Wagenaar', 'Sybille W\xc3\xa4lty', 'Yumiko Yamada', 'Shohei Shigematsu', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Whitney Museum Extension,2001,Project,Commissioned Study,Museum / Gallery,True,Carol Patterson,Olga Aleksakova,Ali Arvanaghi,Brandon Cook,Markus Dettling,Erez Ella,Marissa Fort,Alain Fouraux,Sarah Gibson,Laura Gilmore,Caya Loeper,John McMorrough,Shiro Ogata,Natasha Sandmeier,Tuomas Toivonen,Fenna Haakma Wagenaar,Sybille Wälty,Yumiko Yamada,Shohei Shigematsu,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
2000s,0.333333333333,"['Govert Gerritsen', 'Bart Cardinaal', 'Bob Choeff', 'Richard Eelman', 'Udo Garritzmann', 'Ana Almeida Jacinto', 'Jenny Jones', 'Philip Koenen', 'Jan Kooijman', 'Rob de Maat', 'Michel Melenhorst', 'Oliver Sch\xc3\xbctte', 'Shohei Shigematsu', 'Enno Stemerdink', 'Jeroen Thomas', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Breda Chassé Parking,2002,Project,Completed,Infrastructure,True,Govert Gerritsen,Bart Cardinaal,Bob Choeff,Richard Eelman,Udo Garritzmann,Ana Almeida Jacinto,Jenny Jones,Philip Koenen,Jan Kooijman,Rob de Maat,Michel Melenhorst,Oliver Schütte,Shohei Shigematsu,Enno Stemerdink,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
2000s,0.0,"['Gabriela Bojalil', 'Paz Martin', 'Hiromasa Shirai', 'Patrick Bruhn', 'Jan Roters', 'Michael Smith', 'Erez Ella', 'Erik Schotte', 'Johan De Wachter', 'Sarah Gibson', 'Shohei Shigematsu', 'Katrien van Dijk', 'Ralph van Mameren', 'Caroline Andersen', 'Mariano Sagasta Garcia', 'Chris Mosiadz', 'Chantal Aquilina', 'Katharina Gerlach', 'Daan Ooievaar', 'Joshua Beck', 'Boris Girin', 'Se Yoon Park', 'Giannantonio Bongiorno', 'Alasdair Graham', 'Ferdjan van der Pijl', 'Matthew Brown', 'Elena Hristova', 'Soojung Rhee', 'Kees van Casteren', 'Klaas Kresse', 'Bart Schoonderbeek', 'Joseph Chartouni', 'Marcos Zotes Lopez', 'Ziad Shehab', 'Joao Bravo da Costa', 'Rob de Maat', 'Cristian Suau', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Koningin Julianaplein,2002,Project,Competition,Residential,True,Gabriela Bojalil,Paz Martin,Hiromasa Shirai,Patrick Bruhn,Jan Roters,Michael Smith,Erez Ella,Erik Schotte,Johan De Wachter,Sarah Gibson,Shohei Shigematsu,Katrien van Dijk,Ralph van Mameren,Caroline Andersen,Mariano Sagasta Garcia,Chris Mosiadz,Chantal Aquilina,Katharina Gerlach,Daan Ooievaar,Joshua Beck,Boris Girin,Se Yoon Park,Giannantonio Bongiorno,Alasdair Graham,Ferdjan van der Pijl,Matthew Brown,Elena Hristova,Soojung Rhee,Kees van Casteren,Klaas Kresse,Bart Schoonderbeek,Joseph Chartouni,Marcos Zotes Lopez,Ziad Shehab,Joao Bravo da Costa,Rob de Maat,Cristian Suau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
2000s,0.0,"['Erez Ella', 'Nicolas Firket', 'Alain Fouraux', 'Sarah Gibson', 'Matthew Logan Murphy', 'Roberto Otero', 'Carol Patterson', 'Tammo Prinz', 'Shohei Shigematsu', 'Fenna Haakma Wagenaar', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Nato,2002,Project,Competition,Office,True,Erez Ella,Nicolas Firket,Alain Fouraux,Sarah Gibson,Matthew Logan Murphy,Roberto Otero,Carol Patterson,Tammo Prinz,Shohei Shigematsu,Fenna Haakma Wagenaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
2000s,0.333333333333,"['Olga Aleksakova', 'Kees van Casteren', 'Rob de Maat', 'Karen Shanski', 'Shohei Shigematsu', 'Bina Bhattacharya', 'Bart Cardinaal', 'Laszlo Fecske', 'Sharon Goren', 'Philip Koenen', 'Antti Lassila', 'Paz Martin', 'Markus Schaefer', 'Mark Watanabe', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Almere Block 6,2004,Project,Completed,Theatre,True,Olga Aleksakova,Kees van Casteren,Rob de Maat,Karen Shanski,Shohei Shigematsu,Bina Bhattacharya,Bart Cardinaal,Laszlo Fecske,Sharon Goren,Philip Koenen,Antti Lassila,Paz Martin,Markus Schaefer,Mark Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Shigematsu,Projects-05,21
