DECADE,IMPORTANCE,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,BRANCH KEY,KEY LIST
1990s,0.0,"['Tom Bergevoet', 'Piet Eckert', 'Wim Eckert', 'Reinier de Graaf', 'Wilfried Hackenbroich', 'Julien Monfort', 'Jeroen Thomas', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Airport 2000,1995,Project,Competition,Infrastructure,True,Tom Bergevoet,Piet Eckert,Wim Eckert,Reinier de Graaf,Wilfried Hackenbroich,Julien Monfort,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
1990s,0.0,"['Seong Lok Bae', 'Reinier de Graaf', 'Neville Mars', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Schiphol Logistics Park,1996,Project,Commissioned Study,Masterplan,False,Seong Lok Bae,Reinier de Graaf,Neville Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
1990s,0.0,"['Floris Alkemade', 'Gary Bates', 'Reinier de Graaf', 'Mark McVeigh', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Mercedes Office Village,1997,Project,Commissioned Study,Masterplan,True,Floris Alkemade,Gary Bates,Reinier de Graaf,Mark McVeigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
1990s,0.0,"['Frans Blok', 'Bert Karel Deuten', 'Reinier de Graaf', 'Jens Hommert', 'Adam Kurdahl', 'Anna Little', 'Matteo Poli', 'Stijn Rademakers', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Schiphols,1998,Project,Commissioned Study,Research,True,Frans Blok,Bert Karel Deuten,Reinier de Graaf,Jens Hommert,Adam Kurdahl,Anna Little,Matteo Poli,Stijn Rademakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
1990s,0.0,"['Donald van Dansik', 'Reinier de Graaf', 'Jens Hommert', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Carrefour,1999,Project,Commissioned Study,Infrastructure,True,Donald van Dansik,Reinier de Graaf,Jens Hommert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
2000s,0.0,"['Amale Andraos', 'Fernando Donis', 'Reinier de Graaf', 'Ellen van Loon', 'Joshua Ramus', 'Saskia Simon', 'Johan De Wachter', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Caltrans District 7 HQ,2001,Project,Competition,Office,True,Amale Andraos,Fernando Donis,Reinier de Graaf,Ellen van Loon,Joshua Ramus,Saskia Simon,Johan De Wachter,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
2000s,0.0,"['Meghan Corwin', 'Toma Damish', 'Claudia Dische', 'Fernando Donis', 'Reinier de Graaf', 'Beatriz Izquierdo', 'Alex de Jong', 'Thorsten Kiefer', 'Cornelia Locke', 'Paz Martin', 'Julien Monfort', 'David Moore', 'Shiro Ogata', 'Roberto Otero', 'Katayoun Parssanedjah', 'Matthieu Puyaubreau', 'Saskia Simon', 'Johan de Wachter', 'Fenna Haakma Wagenaar', 'Sybille W\xc3\xa4lty', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Fondation Pinault,2001,Project,Competition,Museum / Gallery,True,Meghan Corwin,Toma Damish,Claudia Dische,Fernando Donis,Reinier de Graaf,Beatriz Izquierdo,Alex de Jong,Thorsten Kiefer,Cornelia Locke,Paz Martin,Julien Monfort,David Moore,Shiro Ogata,Roberto Otero,Katayoun Parssanedjah,Matthieu Puyaubreau,Saskia Simon,Johan de Wachter,Fenna Haakma Wagenaar,Sybille Wälty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
2000s,0.0,"['Floris Alkemade', 'Stefan Bendiks', 'Catarina Canas', 'Bart Cardinaal', 'Claudia Dische', 'Reinier de Graaf', 'Alex de Jong', 'Jan Knikker', 'Carolien Ligtenberg', 'Matthieu Puyaubreau', 'Orri Steinarsson', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Prins Clausplein,2001,Project,Commissioned Study,Masterplan,True,Floris Alkemade,Stefan Bendiks,Catarina Canas,Bart Cardinaal,Claudia Dische,Reinier de Graaf,Alex de Jong,Jan Knikker,Carolien Ligtenberg,Matthieu Puyaubreau,Orri Steinarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
2000s,0.333333333333,"['Richard Eelman', 'Govert Gerritsen', 'Reinier de Graaf', 'Jan Kooijman', 'Rob de Maat', 'Michel Melenhorst', 'Fernando Romero', 'Jeroen Thomas', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Breda Carré Building,2003,Project,Completed,Residential,True,Richard Eelman,Govert Gerritsen,Reinier de Graaf,Jan Kooijman,Rob de Maat,Michel Melenhorst,Fernando Romero,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
2000s,0.0,"['Reinier de Graaf', 'Jens Hommert', 'Markus Schaefer', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Prada Sport,2003,Project,Commissioned Study,Research,False,Reinier de Graaf,Jens Hommert,Markus Schaefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinier de Graaf,Projects-06
