DECADE,IMPORTANCE,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,BRANCH KEY,KEY LIST,KEY TOTAL
2000s,0.0,"['Amale Andraos', 'Fernando Donis', 'Reinier de Graaf', 'Ellen van Loon', 'Joshua Ramus', 'Saskia Simon', 'Johan De Wachter', 'Dan Wood', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Caltrans District 7 HQ,2001,Project,Competition,Office,True,Amale Andraos,Fernando Donis,Reinier de Graaf,Ellen van Loon,Joshua Ramus,Saskia Simon,Johan De Wachter,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Meghan Corwin', 'Toma Damish', 'Claudia Dische', 'Fernando Donis', 'Reinier de Graaf', 'Beatriz Izquierdo', 'Alex de Jong', 'Thorsten Kiefer', 'Cornelia Locke', 'Paz Martin', 'Julien Monfort', 'David Moore', 'Shiro Ogata', 'Roberto Otero', 'Katayoun Parssanedjah', 'Matthieu Puyaubreau', 'Saskia Simon', 'Johan de Wachter', 'Fenna Haakma Wagenaar', 'Sybille W\xc3\xa4lty', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Fondation Pinault,2001,Project,Competition,Museum / Gallery,True,Meghan Corwin,Toma Damish,Claudia Dische,Fernando Donis,Reinier de Graaf,Beatriz Izquierdo,Alex de Jong,Thorsten Kiefer,Cornelia Locke,Paz Martin,Julien Monfort,David Moore,Shiro Ogata,Roberto Otero,Katayoun Parssanedjah,Matthieu Puyaubreau,Saskia Simon,Johan de Wachter,Fenna Haakma Wagenaar,Sybille Wälty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Catarina Canas', 'Fernando Donis', 'Thorsten Kiefer', 'Roberto Otero', 'Erik Schotte', 'Sybille W\xc3\xa4lty', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Cordoba Congress Centre,2002,Project,Construction,Theatre,True,Catarina Canas,Fernando Donis,Thorsten Kiefer,Roberto Otero,Erik Schotte,Sybille Wälty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Gabriela Bojalil', 'Fernando Donis', 'Erez Ella', 'Selva Gurdogan', 'Kerem Piker', 'Victoria Stewart', 'Gregers Tang Thomsen', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Guangzhou Opera House,2002,Project,Competition,Theatre,True,Gabriela Bojalil,Fernando Donis,Erez Ella,Selva Gurdogan,Kerem Piker,Victoria Stewart,Gregers Tang Thomsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Eric Chang', 'Katrin Betschinger', 'Tiago Branco-Sampaio', 'George Bucher', 'Kees van Casteren', 'Dan Cheong', 'Hugo Clara', 'Haiko Cornelissen', 'Fernando Donis', 'Keru Feng', 'Alain Fouraux', 'Selva Gurdogan', 'Michelle Liu', 'Xiaodong Liu', 'Ellen van Loon', 'Jeff Ludlow', 'Miho Mazereeuw', 'Cristina Cassandra Murphy', 'Nuno Rosado', 'Oriol Hostench Ruiz', 'Hiromasa Shirai', 'Sebastian Thomas', 'Gregers Tang Thomsen', 'Boris Vapne', 'Finn Williams', 'Dongmei Yao', 'Camia Young', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Beijing Books Building,2003,Project,Competition,Retail,True,Eric Chang,Katrin Betschinger,Tiago Branco-Sampaio,George Bucher,Kees van Casteren,Dan Cheong,Hugo Clara,Haiko Cornelissen,Fernando Donis,Keru Feng,Alain Fouraux,Selva Gurdogan,Michelle Liu,Xiaodong Liu,Ellen van Loon,Jeff Ludlow,Miho Mazereeuw,Cristina Cassandra Murphy,Nuno Rosado,Oriol Hostench Ruiz,Hiromasa Shirai,Sebastian Thomas,Gregers Tang Thomsen,Boris Vapne,Finn Williams,Dongmei Yao,Camia Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Christian Bandi', 'George Bucher', 'Paul Burgstaller', 'Jin Chong', 'Theo Deutinger', 'Fernando Donis', 'Teran Evans', 'Teman Evans', 'Emilie Gomart', 'Selva Gurdogan', 'James Harper', 'Peter Knutson', 'Mee Michelle Liu', 'Florian Pucher', 'Nanne de Ru', 'Gregers Tang Thomsen', 'Victoria Willocks', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Beijing Central Business District,2003,Project,Competition,Masterplan,True,Christian Bandi,George Bucher,Paul Burgstaller,Jin Chong,Theo Deutinger,Fernando Donis,Teran Evans,Teman Evans,Emilie Gomart,Selva Gurdogan,James Harper,Peter Knutson,Mee Michelle Liu,Florian Pucher,Nanne de Ru,Gregers Tang Thomsen,Victoria Willocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Eric Chang', 'Katrin Betschinger', 'Tiago Branco-Sampaio', 'George Bucher', 'Kees van Casteren', 'Dan Cheong', 'Hugo Clara', 'Haiko Cornelissen', 'Fernando Donis', 'Keru Feng', 'Alain Fouraux', 'Selva Gurdogan', 'Michelle Liu', 'Xiaodong Liu', 'Ellen van Loon', 'Jeff Ludlow', 'Miho Mazereeuw', 'Cristina Cassandra Murphy', 'Nuno Rosado', 'Oriol Hostench Ruiz', 'Hiromasa Shirai', 'Sebastian Thomas', 'Gregers Tang Thomsen', 'Boris Vapne', 'Finn Williams', 'Dongmei Yao', 'Camia Young', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Beijing Preservation,2003,Project,Competition,Retail,True,Eric Chang,Katrin Betschinger,Tiago Branco-Sampaio,George Bucher,Kees van Casteren,Dan Cheong,Hugo Clara,Haiko Cornelissen,Fernando Donis,Keru Feng,Alain Fouraux,Selva Gurdogan,Michelle Liu,Xiaodong Liu,Ellen van Loon,Jeff Ludlow,Miho Mazereeuw,Cristina Cassandra Murphy,Nuno Rosado,Oriol Hostench Ruiz,Hiromasa Shirai,Sebastian Thomas,Gregers Tang Thomsen,Boris Vapne,Finn Williams,Dongmei Yao,Camia Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Fernando Donis', 'Cl\xc3\xa9ment Blanchet', 'Catarina Canas', 'Joao Bravo da Costa', 'Cedric von Daniken', 'Tiago Simas Freire', 'Gustavo Guimar\xc3\xa3es', 'Trine Kobbelvedt', 'Simon Kretz', 'Xiaodong Liu', 'Laurent Troost', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Ecole Polytechnique Federale De Lausanne – Learning Center,2004,Project,Competition,Education,True,Fernando Donis,Clément Blanchet,Catarina Canas,Joao Bravo da Costa,Cedric von Daniken,Tiago Simas Freire,Gustavo Guimarães,Trine Kobbelvedt,Simon Kretz,Xiaodong Liu,Laurent Troost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Gabriella Bojalil', 'Catarina Canas', 'Kees van Casteren', 'Fernando Donis', 'Frank Eittorf', 'Gustavo Guimar\xc3\xa3es', 'Selva Gurdogan', 'Trine Kobbelvedt', 'Michelle Liu', 'Rob de Maat', 'Konstantinos Pantazis', 'Filip Rem', 'Beatrice Schiavina', 'Michael Smith', 'Gregers Tang Thomsen', 'Joris Weijts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Gent Forum,2004,Project,Competition,Theatre,True,Gabriella Bojalil,Catarina Canas,Kees van Casteren,Fernando Donis,Frank Eittorf,Gustavo Guimarães,Selva Gurdogan,Trine Kobbelvedt,Michelle Liu,Rob de Maat,Konstantinos Pantazis,Filip Rem,Beatrice Schiavina,Michael Smith,Gregers Tang Thomsen,Joris Weijts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
2000s,0.0,"['Shohei Shigematsu', 'Fernando Donis', 'Rodney Eggleston', 'Alain Fouraux', 'Thomas von Girsewald', 'Filip Rem', 'Hiromasa Shirai', 'Michael Smith', 'Steffi Wedde', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Idea Vertical Campus,2004,Project,Competition,Education,True,Shohei Shigematsu,Fernando Donis,Rodney Eggleston,Alain Fouraux,Thomas von Girsewald,Filip Rem,Hiromasa Shirai,Michael Smith,Steffi Wedde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Donis,Projects-09,18
